,Ticker,SMA200_value,SMA150_value,SMA50_value,SMA200_percent,SMA50_percent,EPS_QoQ_percent,Sales_QoQ_percent,prev_close,week52_high,week52_low,Inst. Ownership,Shares Outstanding,volume,Relative Strength Value,SMA50_greater_SMA150_rule (1st),SMA50_greater_SMA150_rule_score,SMA50_greater_SMA150_rule_nvalue,SMA150_greater_SMA200_rule (1st),SMA150_greater_SMA200_rule_score,SMA150_greater_SMA200_rule_nvalue,week52_span_rule (1st),week52_span_rule_score,week52_span_rule_nvalue,rs_value_rule (1st),rs_value_rule_score,rs_value_rule_nvalue,liquidity_rule (1st),liquidity_rule_score,liquidity_rule_nvalue,close_above_52weekhigh_rule (1st),close_above_52weekhigh_rule_score,close_above_52weekhigh_rule_nvalue,prev_close_rule (1st),prev_close_rule_score,prev_close_rule_nvalue,SMA200_slope_rule (1st),SMA200_slope_rul_score,SMA200_slope_rul_nvalue,inst_ownership_rule (1st),inst_ownership_rule_score,inst_ownership_rule_nvalue,close_greater_SMA50_rule (1st),close_greater_SMA50_rule_score,close_greater_SMA50_rule_nvalue,sales_QoQ_yearly_rule (1st),sales_QoQ_yearly_rule_score,sales_QoQ_yearly_rule_nvalue,eps_QoQ_yearly_rule (2nd),eps_QoQ_yearly_rule_score,eps_QoQ_yearly_rule_nvalue,Primary Passed Tests,Secondary Passed Tests,Double Bottom Chart Pattern,Inverse Head and Shoulder Pattern,Multiple Bottom Pattern,Channel Up Pattern,Channel Up Strong Pattern,Wedge Down Pattern,Wedge Down Strong Pattern,Channel Down Strong Pattern,Lwowski Rating,N-Value Rating
727,TGNA,15.310218943296558,16.405097989475024,19.039166556464302,0.4052,0.086,1.881,0.35100000000000003,20.2,20.6200008392334,10.130000114440918,0.91,219940000.0,1552887.0,7.191978511879249,True,657.6702472188856,4096.0,True,146.4585382402565,2048.0,True,226.63458761117766,1024.0,True,3170.2929980821755,512.0,True,1585.1464990410877,256,True,39.19042319858775,128.0,True,19.595211599293876,64.0,True,0.08811430234054761,32.0,True,275.2,16.0,True,0.4877664954893999,8.0,True,1.6160000000000005,4.0,True,18.900000000000002,2,11,1,False,False,False,False,False,False,False,False,6141.280385789294,8190.0
1415,EVR,103.63678866755353,113.73686285579906,129.36111174689398,0.5307999999999999,0.099,1.025,0.39899999999999997,137.4,142.41000366210938,47.61000061035156,0.871,40890000.0,357117.0,5.930389088410126,True,562.6753002591878,4096.0,True,199.59082294493038,2048.0,True,813.7799858917898,1024.0,True,2524.3592132659846,512.0,True,1262.1796066329923,256,True,36.66258968462599,128.0,True,18.331294842312996,64.0,True,0.10173434303895015,32.0,True,262.71999999999997,16.0,True,0.4971440424126714,8.0,True,2.3839999999999995,4.0,True,9.38888888888889,2,11,1,False,False,False,False,False,False,False,False,5692.670580796163,8190.0
1546,GNRC,252.0410939237497,268.3750970877853,323.1969468858507,0.4752,0.0593,0.784,0.28800000000000003,333.64,363.4700012207031,89.63999938964844,0.9490000000000001,62390000.0,565588.0,4.581587210172078,True,836.7031785345775,4096.0,True,132.72454090389405,2048.0,True,1467.253572852973,1024.0,True,1833.7726516081038,512.0,True,916.8863258040519,256,True,28.660044777921858,128.0,True,14.330022388960929,64.0,True,0.06643721395433214,32.0,True,287.68,16.0,True,0.25849385558305144,8.0,True,0.6080000000000005,4.0,True,6.711111111111112,2,11,1,False,False,False,False,False,False,False,False,5525.654379051131,8190.0
1087,COHU,34.77927019996365,40.1355884215411,43.785833570692276,0.6769,0.109,1.9,0.425,49.78,50.54999923706055,13.119999885559082,0.8009999999999999,42120000.0,463142.0,4.87257496569018,True,372.52236030252567,4096.0,True,315.41029051846203,2048.0,True,1343.2194971156077,1024.0,True,1982.758382433372,512.0,True,991.379191216686,256,True,40.06699890982416,128.0,True,20.03349945491208,64.0,True,0.08818844024959864,32.0,True,240.31999999999996,16.0,True,1.0951791372668764,8.0,True,2.8,4.0,True,19.11111111111111,2,11,1,False,False,False,False,False,False,False,False,5328.804698640017,8190.0
1067,BLDR,38.70124069269556,40.808921402575926,44.445555475023056,0.35869999999999996,0.0814,2.351,0.435,48.05,48.04999923706055,12.949999809265137,0.674,206430000.0,1718494.0,4.141399883716201,True,365.0097245599637,4096.0,True,111.53466960168232,2048.0,True,1255.6849394645094,1024.0,True,1608.396740462695,512.0,True,804.1983702313476,256,True,42.66666937651755,128.0,True,21.333334688258773,64.0,True,0.05292443117559094,32.0,True,199.67999999999998,16.0,True,0.6487837960765316,8.0,True,2.96,4.0,True,24.12222222222222,2,11,1,False,False,False,False,False,False,False,False,4436.288378834449,8190.0
884,WSC,22.916094884385156,24.723333321365654,27.032222165001762,0.4029,0.0868,2.129,0.62,29.19,29.190000534057617,8.449999809265137,0.78,229070000.0,851294.0,3.8704501403625358,True,382.5215872230576,4096.0,True,161.5120000859328,2048.0,True,1098.4067139576277,1024.0,True,1469.6704718656183,512.0,True,734.8352359328092,256,True,42.666663544164734,128.0,True,21.333331772082367,64.0,True,0.053178470402002784,32.0,True,233.6,16.0,True,0.6385794913425603,8.0,True,5.92,4.0,True,21.65555555555556,2,11,1,False,False,False,False,False,False,False,False,4172.813317898592,8190.0
1489,QRVO,160.09437917444828,169.43921526740579,177.47194247775607,0.3118,0.1018,0.276,0.26,194.98,198.32000732421875,81.18000030517578,0.87,113810000.0,845194.0,4.146747238790494,True,194.18202924080697,4096.0,True,119.54338695128601,2048.0,True,476.95851246543253,1024.0,True,1611.1345862607327,512.0,True,805.5672931303664,256,True,39.792383207536034,128.0,True,19.896191603768017,64.0,True,0.033259828344431065,32.0,True,262.4,16.0,True,0.7892203027839553,8.0,True,0.16000000000000014,4.0,True,1.066666666666667,2,11,1,False,False,False,False,False,False,False,False,3531.5235296577234,8190.0
1267,CROX,65.45649646842567,71.00686282737583,78.97694481743707,0.4475,0.0518,8.436,0.565,82.17,84.80000305175781,17.889999389648438,0.94,66730000.00000001,1332566.0,1.5728414813578118,True,459.750713260702,4096.0,True,173.65961999834667,2048.0,True,1888.3042846578799,1024.0,True,293.2948384551996,512.0,True,146.6474192275998,256,True,37.37357895424397,128.0,True,18.686789477121984,64.0,True,0.06480106648493263,32.0,True,284.79999999999995,16.0,True,0.323441752774204,8.0,True,5.039999999999999,4.0,True,91.73333333333333,2,11,1,False,False,False,False,False,False,False,False,3399.6788201836853,8190.0
1294,SPB,72.82664228007741,77.286470450607,83.39722188313802,0.3375,0.0823,3.0810000000000004,0.314,89.24,89.23999786376953,35.40999984741211,0.9990000000000001,42900000.0,202518.0,3.277905886630772,True,323.85536202799216,4096.0,True,125.4173995571294,2048.0,True,524.4059566158712,1024.0,True,1166.2878139549553,512.0,True,583.1439069774776,256,True,42.666670752091825,128.0,True,21.333335376045913,64.0,True,0.04777388489354188,32.0,True,303.68,16.0,True,0.5604770024641142,8.0,True,1.024,4.0,True,32.233333333333334,2,11,1,False,False,False,False,False,False,False,False,3124.656029482254,8190.0
1132,PCH,48.452408560871206,50.05490183362774,52.73694451649984,0.21600000000000003,0.0855,7.742999999999999,0.6579999999999999,56.65,56.650001525878906,28.6200008392334,0.8740000000000001,67160000.0,390724.0,3.5661912619415093,True,219.47194833301583,4096.0,True,67.73463528613424,2048.0,True,192.13416900347968,1024.0,True,1313.8899261140527,512.0,True,656.9449630570264,256,True,42.66666206972651,128.0,True,21.333331034863257,64.0,True,0.0189490982784696,32.0,True,263.68,16.0,True,0.5935960862921634,8.0,True,6.527999999999999,4.0,True,84.03333333333333,2,11,1,False,False,False,False,False,False,False,False,2869.029513416202,8190.0
